"Equipment ID","Location","Service Area(s)"
"RTU1","ROOF","1ST FLOOR"
"RTU2","ROOF","2ND FLOOR"
"FAN-1","ROOF","1ST & 2ND FLRS. RR"
"FAN-2","STORAGE - 125","BAIT & TACKLE RR"
"FAN-3","STORAGE 306","3RD FLR"
"FAN-4","POOL EQUIP - 307","POOL EQUIP - 307"
"FAN-8","CRAWL SPACE","CRAWL SPACE VENTILATION"
"FAN-9","OUTDOOR GAMING - 222","OUTDOOR GAMING - 222"
"FAN-10","ELEC RM 115 ROOF","ELEC RM 115"
"FAN-12","ROOF","SMOKING ROOM"
"KEF-1","ROOF","HOOD 1 (LEFT)"
"KEF-2","ROOF","HOOD 1 (RIGHT)"
"KEF-3","ROOF","HOOD 3"
"KEF-4","ROOF","HOOD 4"
"MAU-1","ROOF","KITCHEN"
"ACU-1 / ACCU-1","SERVER - 211","SERVER - 211"
"RH-1","OUTDOOR GAMING - 222","OUTDOOR GAMING - 222"
"UH-1.1","VEST - 100","VEST - 100"
"UH-1.2","ELEC - 115","ELEC - 115"
"UH-1.3","STAIRS - 110","STAIRS - 110"
"UH-1.4","VEST - 121","VEST - 121"
"UH-1.5","STAIRS - 106","STAIRS - 106"
"UH-1.6","WATER - 116","WATER - 116"
"UH-1.7","SERVICE CORR - 218","SERVICE CORR - 218"
"UH-2.1","POOL EQUIP - 307","POOL EQUIP - 307"
"UH-2.2","POOL DECK CORRIDOR","POOL DECK CORRIDOR"
"UH-3.4","MEN - 304","MEN - 304"
"UH-3.5","WOMEN - 305","WOMEN - 305"
"ATU-1.1","-","-"
"ATU-1.2","-","-"
"ATU-1.3","-","-"
"ATU-1.4","-","-"
"ATU-1.5","-","-"
"ATU-1.6","-","-"
"ATU-1.7","-","-"
"ATU-1.8","-","-"
"ATU-1.9","-","-"
"ATU-1.10","-","-"
"ATU-1.11","-","-"
"ATU-1.12","-","-"
"ATU-1.13","-","-"
"ATU-1.14","-","-"
"ATU-2.1","-","-"
"ATU-2.2","-","-"
"ATU-2.3","-","-"
"ATU-2.4","-","-"
"ATU-2.5","-","-"
"ATU-2.6","-","-"
"ATU-2.7","-","-"
"ATU-2.8","-","-"
"ATU-2.9","-","-"
"ATU-2.10","-","-"
"ATU-2.11","-","-"
"ATU-2.12","-","-"
"ATU-2.13","-","-"
"ATU-2.14","-","-"
"ATU-2.15","-","-"
"ATU-3.1","-","-"
"FCU-1 / HPU-1","ELEVATOR SHAFT #1","ELEVATOR SHAFT #1"
"FCU-2 / HPU-2","ELEVATOR SHAFT #2","ELEVATOR SHAFT #2"
"FCU-3 / HPU-3","ELEVATOR SHAFT #3","ELEVATOR SHAFT #3"
